ubigeo,DEPARTAMENTO,PROVINCIA,DISTRITO,r1_PNP,r1_FA,r1_PM,r1_PPS,r1_VN,r1_AP,r1_AvP,r1_PP,r1_JP,r1_PPC,r1_FP,r1_UPP,r1_RP,r1_RUNA,r1_SP,r1_PL,r1_DD,r1_APP,VOTOS_VB,VOTOS_VN,VOTOS_VI,r1_total_valid,r1_blank,r1_null,r1_pct_PNP,r1_pct_FA,r1_pct_PM,r1_pct_PPS,r1_pct_VN,r1_pct_AP,r1_pct_AvP,r1_pct_PP,r1_pct_JP,r1_pct_PPC,r1_pct_FP,r1_pct_UPP,r1_pct_RP,r1_pct_RUNA,r1_pct_SP,r1_pct_PL,r1_pct_DD,r1_pct_APP,r2_castillo,r2_fujimori,r2_blank,r2_null,r2_total_valid,r2_pct_castillo,r2_pct_fujimori,r2_margin,r2_winner
920204,AMERICA,ARGENTINA,CORRIENTES,1.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,3.0,3.0,7.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,13.0,2.0,0.0,32.0,13.0,2.0,3.12,0.0,0.0,0.0,0.0,6.25,15.62,0.0,9.38,9.38,21.88,0.0,31.25,0.0,0.0,3.12,0.0,0.0,17.0,32.0,0.0,1.0,49.0,34.69,65.31,-30.62,Fujimori
920205,AMERICA,ARGENTINA,LA PLATA,63.0,130.0,69.0,29.0,174.0,223.0,189.0,69.0,354.0,74.0,529.0,24.0,410.0,14.0,64.0,322.0,42.0,167.0,1208.0,1224.0,0.0,2946.0,1208.0,1224.0,2.14,4.41,2.34,0.98,5.91,7.57,6.42,2.34,12.02,2.51,17.96,0.81,13.92,0.48,2.17,10.93,1.43,5.67,2366.0,2968.0,81.0,603.0,5334.0,44.36,55.64,-11.28,Fujimori
920206,AMERICA,ARGENTINA,MENDOZA,51.0,18.0,46.0,17.0,65.0,103.0,88.0,35.0,109.0,23.0,289.0,13.0,161.0,2.0,21.0,109.0,6.0,101.0,553.0,515.0,0.0,1257.0,553.0,515.0,4.06,1.43,3.66,1.35,5.17,8.19,7.0,2.78,8.67,1.83,22.99,1.03,12.81,0.16,1.67,8.67,0.48,8.04,1024.0,1234.0,33.0,202.0,2258.0,45.35,54.65,-9.3,Fujimori
920207,AMERICA,ARGENTINA,ROSARIO DE SANTA FE,38.0,16.0,40.0,12.0,64.0,153.0,129.0,28.0,184.0,34.0,166.0,11.0,235.0,5.0,59.0,118.0,11.0,36.0,301.0,143.0,0.0,1339.0,301.0,143.0,2.84,1.19,2.99,0.9,4.78,11.43,9.63,2.09,13.74,2.54,12.4,0.82,17.55,0.37,4.41,8.81,0.82,2.69,852.0,932.0,19.0,132.0,1784.0,47.76,52.24,-4.48,Fujimori
920208,AMERICA,ARGENTINA,SALTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1111.0,0.0,0.0,0.0,1111.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1111.0,0.0,,,,Fujimori
920401,AMERICA,BOLIVIA,COCHABAMBA,13.0,6.0,9.0,5.0,35.0,67.0,86.0,12.0,48.0,9.0,71.0,5.0,106.0,1.0,6.0,58.0,1.0,3.0,146.0,37.0,0.0,541.0,146.0,37.0,2.4,1.11,1.66,0.92,6.47,12.38,15.9,2.22,8.87,1.66,13.12,0.92,19.59,0.18,1.11,10.72,0.18,0.55,167.0,335.0,6.0,32.0,502.0,33.27,66.73,-33.46,Fujimori
920403,AMERICA,BOLIVIA,LA PAZ,13.0,3.0,13.0,5.0,23.0,72.0,84.0,10.0,47.0,11.0,55.0,1.0,98.0,1.0,8.0,44.0,2.0,12.0,198.0,43.0,0.0,502.0,198.0,43.0,2.59,0.6,2.59,1.0,4.58,14.34,16.73,1.99,9.36,2.19,10.96,0.2,19.52,0.2,1.59,8.76,0.4,2.39,329.0,589.0,5.0,62.0,918.0,35.84,64.16,-28.32,Fujimori
920405,AMERICA,BOLIVIA,SANTA CRUZ,16.0,6.0,35.0,10.0,64.0,83.0,182.0,22.0,57.0,19.0,166.0,4.0,234.0,4.0,22.0,46.0,2.0,13.0,252.0,276.0,0.0,985.0,252.0,276.0,1.62,0.61,3.55,1.02,6.5,8.43,18.48,2.23,5.79,1.93,16.85,0.41,23.76,0.41,2.23,4.67,0.2,1.32,277.0,927.0,7.0,76.0,1204.0,23.01,76.99,-53.98,Fujimori
920411,AMERICA,BOLIVIA,EL ALTO,7.0,4.0,6.0,4.0,6.0,28.0,7.0,2.0,11.0,1.0,16.0,3.0,13.0,1.0,4.0,47.0,4.0,4.0,140.0,16.0,0.0,168.0,140.0,16.0,4.17,2.38,3.57,2.38,3.57,16.67,4.17,1.19,6.55,0.6,9.52,1.79,7.74,0.6,2.38,27.98,2.38,2.38,252.0,127.0,0.0,19.0,379.0,66.49,33.51,32.98,Castillo
920502,AMERICA,BRASIL,BELO HORIZONTE,1.0,0.0,5.0,0.0,1.0,14.0,22.0,0.0,31.0,4.0,9.0,0.0,18.0,1.0,0.0,2.0,2.0,1.0,8.0,1.0,0.0,111.0,8.0,1.0,0.9,0.0,4.5,0.0,0.9,12.61,19.82,0.0,27.93,3.6,8.11,0.0,16.22,0.9,0.0,1.8,1.8,0.9,52.0,92.0,1.0,10.0,144.0,36.11,63.89,-27.78,Fujimori
