ubigeo,departamento,provincia,distrito,DQ1_bad_total_pop,DQ4_density_broken,DQ3_education_outlier,DQ2_pobreza_idh_outlier,total_pop_raw,pob_densidad_2020,recomputed_density_raw,recomputed_density_fixed,density_ratio_csv_over_2017,pct_superior_cualquiera,pct_pobreza_total,idh_2019,pobreza_idh_resid_z
100101,HUANUCO,HUANUCO,HUANUCO,False,False,True,False,89502.0,787.871345955795,709.0390556919908,709.0390556919908,1.1111818730307703,32.92,13.066336,0.589321451013701,-0.38572087675167027
100102,HUANUCO,HUANUCO,AMARILIS,False,False,True,False,81461.0,684.948359659781,618.6284933171324,618.6284933171324,1.107204674629577,34.41,13.903566,0.6180444460983139,-0.04669950490479717
100111,HUANUCO,HUANUCO,PILLCO MARCA,False,False,True,False,43818.0,463.59483096201507,571.9618848714267,571.9618848714267,0.8105344835455742,33.63,10.613421,0.621616493035908,-0.3281405706519014
100301,HUANUCO,DOS DE MAYO,LA UNION,False,False,True,False,6634.0,36.3734290843806,39.70077797725913,39.70077797725913,0.9161893277057578,27.58,27.127487,0.512274425019252,0.2595548586422243
100601,HUANUCO,LEONCIO PRADO,RUPA-RUPA,False,False,True,False,53066.0,245.272399819901,199.1070088548702,199.1070088548702,1.231862209324238,27.71,13.55109,0.5818337288935849,-0.4070759629036684
110101,ICA,ICA,ICA,False,False,True,False,150280.0,209.91087424367,169.32766954738537,169.32766954738537,1.2396726111258956,44.34,2.165357,0.6637216310803389,-0.7535977309800534
110102,ICA,ICA,LA TINGUIÑA,False,False,True,False,39574.0,411.063656701241,402.42017490339634,402.42017490339634,1.0214787486733725,31.94,2.993514,0.633445285770717,-0.9478621403358074
110103,ICA,ICA,LOS AQUIJES,False,False,True,False,21963.0,206.302243730752,241.56401231852178,241.56401231852178,0.8540272276100702,27.31,6.411604,0.6321366370204369,-0.6337977363370816
110106,ICA,ICA,PARCONA,False,False,True,False,54047.0,3127.1995399655,3107.9355951696375,3107.9355951696375,1.0061983088793096,32.03,3.132139,0.616344289610642,-1.088968409067244
110107,ICA,ICA,PUEBLO NUEVO,False,False,True,False,6395.0,185.054347826087,193.08574879227055,193.08574879227055,0.9584050039093043,31.64,0.70023014,0.601739176186834,-1.4526209531433218
110110,ICA,ICA,SAN JUAN BAUTISTA,False,False,True,False,13846.0,295.073891625616,524.6684350132626,524.6684350132626,0.5624006933410375,33.54,2.880511,0.655051228213615,-0.763659666500752
110112,ICA,ICA,SUBTANJALLA,False,False,True,False,27387.0,144.615146672166,141.19193689745836,141.19193689745836,1.0242450797823799,34.36,4.354553,0.6350781586942639,-0.8033680523462514
110113,ICA,ICA,TATE,False,False,True,False,4709.0,790.24045261669,666.053748231966,666.053748231966,1.186451475897218,26.54,4.290589,0.615176513188463,-0.9890623217014707
110201,ICA,CHINCHA,CHINCHA ALTA,False,False,True,False,66349.0,368.012083578082,278.3796257447344,278.3796257447344,1.3219792310358869,31.83,2.640704,0.60557296550782,-1.2330232305043831
110203,ICA,CHINCHA,CHAVIN,False,False,True,False,2071.0,8.22676396743083,4.859563085153812,4.859563085153812,1.6929019797199407,50.73,30.081301,0.6024965065604079,1.3553460733303446
110207,ICA,CHINCHA,PUEBLO NUEVO,False,False,True,False,62604.0,284.273096204345,298.8971114824541,298.8971114824541,0.9510734138393722,26.75,3.22399,0.5924704634222309,-1.2956532678650683
110209,ICA,CHINCHA,SAN PEDRO DE HUACARPANA,False,False,False,True,992.0,6.9139132389301,4.459429085187683,4.459429085187683,1.5504032258064522,10.96,10.64054,0.3006858802813069,-3.221691324751201
110210,ICA,CHINCHA,SUNAMPE,False,False,True,False,29079.0,1658.94988066826,1735.0238663484486,1735.0238663484486,0.9561539255132584,26.32,3.379569,0.5987683993460379,-1.2239869567272792
110301,ICA,NAZCA,NAZCA,False,False,True,False,27632.0,27.0688760231583,22.06588141345578,22.06588141345578,1.226729878401852,31.36,3.023548,0.598885276783068,-1.256874566067441
110304,ICA,NAZCA,MARCONA,False,False,True,False,15981.0,9.60822422258592,8.1735883797054,8.1735883797054,1.1755209311056876,34.91,2.243134,0.677142549878397,-0.6250698143634106
110401,ICA,PALPA,PALPA,False,False,True,False,7748.0,61.8827997829626,52.55018990775909,52.55018990775909,1.177594217862675,27.08,5.117471,0.6181901975175669,-0.8830330042310941
110501,ICA,PISCO,PISCO,False,False,True,False,67467.0,3037.78501628665,2747.0276872964173,2747.0276872964173,1.105844338713743,30.87,3.123501,0.587612825136968,-1.3490699003223372
110505,ICA,PISCO,PARACAS,False,False,True,False,7147.0,4.9612676056338,5.033098591549296,5.033098591549296,0.9857282775989921,27.41,4.926614,0.6292184793170689,-0.8017077092740967
110506,ICA,PISCO,SAN ANDRES,False,False,True,False,13767.0,461.34347275031706,348.97338403041823,348.97338403041823,1.3220018885741271,25.08,2.730565,0.525712143712986,-1.9451346441023676
110508,ICA,PISCO,TUPAC AMARU INCA,False,False,True,False,17775.0,315.284787310743,320.3857245854362,320.3857245854362,0.9840787623066116,26.24,3.670807,0.569669482058589,-1.458814828823851
120101,JUNIN,HUANCAYO,HUANCAYO,False,False,True,False,119993.0,626.09555882972,505.1273416122921,505.1273416122921,1.2394806363704547,41.23,6.563487,0.608341387537581,-0.8340501734147346
120107,JUNIN,HUANCAYO,CHILCA,False,False,True,False,91851.0,12801.2048192771,11066.385542168673,11066.385542168673,1.156764760318341,29.64,13.03173,0.5505646674026339,-0.7387684088345134
120114,JUNIN,HUANCAYO,EL TAMBO,False,False,True,False,166359.0,2546.61500815661,2261.541598694943,2261.541598694943,1.1260526932717811,42.28,5.108393,0.634962044759109,-0.7325462824180803
120125,JUNIN,HUANCAYO,PILCOMAYO,False,False,True,False,20055.0,1070.56491575818,993.8057482656095,993.8057482656095,1.077237596609328,31.53,17.07232,0.5708576062141179,-0.17041944007497123
120129,JUNIN,HUANCAYO,SAN AGUSTIN,False,False,True,False,15281.0,691.035080121265,661.801645734084,661.801645734084,1.044172501799621,28.46,25.97536,0.54889411639587,0.4801761226072118
120130,JUNIN,HUANCAYO,SAN JERONIMO DE TUNAN,False,False,True,False,11601.0,632.920438303954,552.6917579799905,552.6917579799905,1.1451599000086194,29.68,22.34907,0.5461790591051489,0.10995169034004613
120201,JUNIN,CONCEPCION,CONCEPCION,False,False,True,False,15428.0,969.382176052488,843.521049753964,843.521049753964,1.1492092299714807,31.8,18.66913,0.559003713454002,-0.12515444155504393
120208,JUNIN,CONCEPCION,MANZANARES,False,False,True,False,1478.0,84.8396501457726,71.8172983479106,71.8172983479106,1.1813261163734776,25.73,22.96238,0.466590537335386,-0.5497978538733116
120209,JUNIN,CONCEPCION,MARISCAL CASTILLA,False,False,False,True,1394.0,2.7747902774790294,1.8740589374058936,1.8740589374058936,1.4806312769010053,4.73,22.96238,0.15313161098589,-3.3785082221945633
120301,JUNIN,CHANCHAMAYO,CHANCHAMAYO,False,False,True,False,27790.0,37.728874005132,30.215717827164788,30.215717827164788,1.248650593738755,25.79,15.38681,0.587430624814192,-0.18155466984595117
120401,JUNIN,JAUJA,JAUJA,False,False,True,False,17908.0,1772.57425742574,1773.069306930693,1773.069306930693,0.9997207951753392,33.75,13.768551,0.579334524483145,-0.40889693975787683
120404,JUNIN,JAUJA,ATAURA,False,False,True,False,1264.0,253.389830508475,214.23728813559322,214.23728813559322,1.182753164556964,26.95,21.93331,0.55587010899333,0.1577677575029137
120407,JUNIN,JAUJA,EL MANTARO,False,False,True,False,2598.0,162.556306306306,146.28378378378378,146.28378378378378,1.111239414934563,25.86,24.70769,0.540670623001362,0.28510869105574
120430,JUNIN,JAUJA,SAUSA,False,False,True,False,3060.0,675.777777777778,680.0,680.0,0.993790849673203,25.79,24.70769,0.54432154821404,0.31805530426385464
120434,JUNIN,JAUJA,YAUYOS,False,False,True,False,8992.0,451.41187925998,437.77994157740994,437.77994157740994,1.031138790035586,27.56,24.17415,0.5558879901194999,0.37156633965216695
