ubigeo,department,provincia,distrito,landredist_pc,landredist_pcprivate,landredist_pc_2,landdist_uncult_pc,D_LRSurfaceArea50th,LRpercap_calweighted_log,prop_ha_ths,imputed,lr_parent_ubigeo
021201,Áncash,HUAYLAS,CARAZ,0.18592682,1.0,0.034568783,2.6447755e-05,0.0,2.0160322,2.5006,False,21201
021203,Áncash,HUAYLAS,HUATA,0.23651883,1.0,0.055941157,0.0,0.0,5.517168,1.76291,False,21203
021204,Áncash,HUAYLAS,HUAYLAS,0.11533164,0.83615994,0.013301387,0.0,0.0,1.7174859,1.11327,False,21204
021205,Áncash,HUAYLAS,MATO,0.26673192,0.91086125,0.071145914,0.00017925464,0.0,7.716285,1.92421,False,21205
021206,Áncash,HUAYLAS,PAMPAROMAS,0.39570123,1.0,0.15657946,0.0,0.0,17.401524,4.86378,False,21206
021207,Áncash,HUAYLAS,PUEBLO LIBRE,0.21178523,1.0,0.044852983,0.0,0.0,2.6077502,0.95418,False,21207
021208,Áncash,HUAYLAS,SANTA CRUZ,0.7313454,0.7695474,0.5348661,0.0,1.0,49.539124,0.55697995,False,21208
021210,Áncash,HUAYLAS,YURACMARCA,0.08510825,1.0,0.0072434144,0.0,0.0,18.223766,0.48394,False,21210
021301,Áncash,MARISCAL LUZURIAGA,PISCOBAMBA,0.017388368,0.04678918,0.00030235533,0.0,0.0,0.15169716,1.2430899,False,21301
021302,Áncash,MARISCAL LUZURIAGA,CASCA,0.00064752746,0.002674379,4.192918e-07,0.0,0.0,0.005999858,0.85938,False,21302
021304,Áncash,MARISCAL LUZURIAGA,FIDEL OLIVAS ESCUDERO,0.19386092,1.0,0.037582055,0.0,0.0,9.8989,1.5143499,False,21304
021305,Áncash,MARISCAL LUZURIAGA,LLAMA,0.31820878,1.0,0.10125683,0.0,0.0,9.581168,1.67477,False,21305
021306,Áncash,MARISCAL LUZURIAGA,LLUMPA,0.4376696,1.0,0.19155468,0.0,0.0,7.344679,2.5815,False,21306
